    INFO: 2025-11-07 06:15:12,616:               log.py:   20: Logging to C:\DataOps\dbt_airflow_project\mdpdf.log
   DEBUG: 2025-11-07 06:15:12,617:               cli.py:  103: THEORY_LECTURE.md
    INFO: 2025-11-07 06:15:12,617:         converter.py:   14: THEORY_LECTURE.md
   DEBUG: 2025-11-07 06:15:12,653:      pdf_renderer.py:  470: printSegment: Modern Data Engineering: Theory 
   DEBUG: 2025-11-07 06:15:12,656:      pdf_renderer.py:  470: printSegment: &
   DEBUG: 2025-11-07 06:15:12,658:      pdf_renderer.py:  470: printSegment:  Concepts
   DEBUG: 2025-11-07 06:15:12,659:      pdf_renderer.py:  470: printSegment: DBT, Airflow, and Data Warehousing Fundamentals
   DEBUG: 2025-11-07 06:15:12,660:      pdf_renderer.py:  470: printSegment: Course Overview
   DEBUG: 2025-11-07 06:15:12,663:      pdf_renderer.py:  470: printSegment: Module 1: Introduction to Modern Data Engineering
   DEBUG: 2025-11-07 06:15:12,664:      pdf_renderer.py:  470: printSegment: Module 2: Data Warehousing Concepts
   DEBUG: 2025-11-07 06:15:12,665:      pdf_renderer.py:  470: printSegment: Module 3: ETL vs ELT Paradigm
   DEBUG: 2025-11-07 06:15:12,665:      pdf_renderer.py:  470: printSegment: Module 4: DBT (Data Build Tool) Deep Dive
   DEBUG: 2025-11-07 06:15:12,666:      pdf_renderer.py:  470: printSegment: Module 5: Apache Airflow Architecture
   DEBUG: 2025-11-07 06:15:12,667:      pdf_renderer.py:  470: printSegment: Module 6: Docker 
   DEBUG: 2025-11-07 06:15:12,667:      pdf_renderer.py:  470: printSegment: &
   DEBUG: 2025-11-07 06:15:12,668:      pdf_renderer.py:  470: printSegment:  Containerization
   DEBUG: 2025-11-07 06:15:12,668:      pdf_renderer.py:  470: printSegment: Module 7: Data Modeling Best Practices
   DEBUG: 2025-11-07 06:15:12,669:      pdf_renderer.py:  470: printSegment: Module 8: Data Quality 
   DEBUG: 2025-11-07 06:15:12,669:      pdf_renderer.py:  470: printSegment: &
   DEBUG: 2025-11-07 06:15:12,670:      pdf_renderer.py:  470: printSegment:  Testing
   DEBUG: 2025-11-07 06:15:12,670:      pdf_renderer.py:  470: printSegment: Module 9: CI/CD for Data Pipelines
   DEBUG: 2025-11-07 06:15:12,671:      pdf_renderer.py:  470: printSegment: Module 10: Real-World Architecture Patterns
   DEBUG: 2025-11-07 06:15:12,673:      pdf_renderer.py:  470: printSegment: Module 1: Introduction to Modern Data Engineering
   DEBUG: 2025-11-07 06:15:12,674:      pdf_renderer.py:  470: printSegment: What is Data Engineering?
   DEBUG: 2025-11-07 06:15:12,675:      pdf_renderer.py:  470: printSegment: Definition:
   DEBUG: 2025-11-07 06:15:12,677:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2025-11-07 06:15:12,681:      pdf_renderer.py:  470: printSegment: Data Engineering is the practice of designing, building, and maintaining systems that collect, store, and
   DEBUG: 2025-11-07 06:15:12,682:      pdf_renderer.py:  470: printSegment: analyze data at scale.
   DEBUG: 2025-11-07 06:15:12,683:      pdf_renderer.py:  470: printSegment: Key Responsibilities:
   DEBUG: 2025-11-07 06:15:12,684:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,684:      pdf_renderer.py:  470: printSegment: Building data pipelines
   DEBUG: 2025-11-07 06:15:12,686:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,687:      pdf_renderer.py:  470: printSegment: Ensuring data quality
   DEBUG: 2025-11-07 06:15:12,687:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,688:      pdf_renderer.py:  470: printSegment: Optimizing data storage
   DEBUG: 2025-11-07 06:15:12,689:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,690:      pdf_renderer.py:  470: printSegment: Enabling analytics and ML
   DEBUG: 2025-11-07 06:15:12,691:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,691:      pdf_renderer.py:  470: printSegment: Maintaining data infrastructure
   DEBUG: 2025-11-07 06:15:12,692:      pdf_renderer.py:  470: printSegment: The Data Engineering Lifecycle
   DEBUG: 2025-11-07 06:15:12,693:      pdf_renderer.py:  470: printSegment: Data Sources → Ingestion → Storage → Transformation → Serving → Analytics/ML
   DEBUG: 2025-11-07 06:15:12,704:      pdf_renderer.py:  470: printSegment: 1. Data Sources:
   DEBUG: 2025-11-07 06:15:12,705:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,706:      pdf_renderer.py:  470: printSegment: Databases (OLTP)
   DEBUG: 2025-11-07 06:15:12,707:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,708:      pdf_renderer.py:  470: printSegment: APIs
   DEBUG: 2025-11-07 06:15:12,708:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,709:      pdf_renderer.py:  470: printSegment: Files (CSV, JSON, Parquet)
   DEBUG: 2025-11-07 06:15:12,709:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,710:      pdf_renderer.py:  470: printSegment: Streaming data
   DEBUG: 2025-11-07 06:15:12,710:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,711:      pdf_renderer.py:  470: printSegment: Third-party services
   DEBUG: 2025-11-07 06:15:12,711:      pdf_renderer.py:  470: printSegment: 2. Ingestion:
   DEBUG: 2025-11-07 06:15:12,712:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,712:      pdf_renderer.py:  470: printSegment: Batch processing
   DEBUG: 2025-11-07 06:15:12,713:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,713:      pdf_renderer.py:  470: printSegment: Real-time streaming
   DEBUG: 2025-11-07 06:15:12,714:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,714:      pdf_renderer.py:  470: printSegment: Change Data Capture (CDC)
   DEBUG: 2025-11-07 06:15:12,715:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,715:      pdf_renderer.py:  470: printSegment: API polling
   DEBUG: 2025-11-07 06:15:12,716:      pdf_renderer.py:  470: printSegment: 3. Storage:
   DEBUG: 2025-11-07 06:15:12,716:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,717:      pdf_renderer.py:  470: printSegment: Data Lakes (S3, Azure Data Lake)
   DEBUG: 2025-11-07 06:15:12,717:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,718:      pdf_renderer.py:  470: printSegment: Data Warehouses (Snowflake, BigQuery, Redshift)
   DEBUG: 2025-11-07 06:15:12,718:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,719:      pdf_renderer.py:  470: printSegment: Databases (PostgreSQL, SQL Server)
   DEBUG: 2025-11-07 06:15:12,719:      pdf_renderer.py:  470: printSegment: 4. Transformation:
   DEBUG: 2025-11-07 06:15:12,720:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,720:      pdf_renderer.py:  470: printSegment: Data cleaning
   DEBUG: 2025-11-07 06:15:12,721:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,721:      pdf_renderer.py:  470: printSegment: Business logic application
   DEBUG: 2025-11-07 06:15:12,722:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,722:      pdf_renderer.py:  470: printSegment: Aggregations
   DEBUG: 2025-11-07 06:15:12,723:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,724:      pdf_renderer.py:  470: printSegment: Joins and enrichment
   DEBUG: 2025-11-07 06:15:12,724:      pdf_renderer.py:  470: printSegment: 5. Serving:
   DEBUG: 2025-11-07 06:15:12,725:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,725:      pdf_renderer.py:  470: printSegment: Analytics dashboards
   DEBUG: 2025-11-07 06:15:12,726:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,726:      pdf_renderer.py:  470: printSegment: Machine learning models
   DEBUG: 2025-11-07 06:15:12,727:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,727:      pdf_renderer.py:  470: printSegment: Operational systems
   DEBUG: 2025-11-07 06:15:12,728:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,728:      pdf_renderer.py:  470: printSegment: APIs
   DEBUG: 2025-11-07 06:15:12,729:      pdf_renderer.py:  470: printSegment: Evolution of Data Engineering
   DEBUG: 2025-11-07 06:15:12,730:      pdf_renderer.py:  470: printSegment: 1990s - Traditional Data Warehousing:
   DEBUG: 2025-11-07 06:15:12,731:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,731:      pdf_renderer.py:  470: printSegment: ETL tools (Informatica, DataStage)
   DEBUG: 2025-11-07 06:15:12,732:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,732:      pdf_renderer.py:  470: printSegment: On-premise data warehouses
   DEBUG: 2025-11-07 06:15:12,733:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,734:      pdf_renderer.py:  470: printSegment: Batch processing only
   DEBUG: 2025-11-07 06:15:12,734:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,735:      pdf_renderer.py:  470: printSegment: Expensive hardware
   DEBUG: 2025-11-07 06:15:12,735:      pdf_renderer.py:  470: printSegment: 2000s - Big Data Era:
   DEBUG: 2025-11-07 06:15:12,736:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,736:      pdf_renderer.py:  470: printSegment: Hadoop ecosystem
   DEBUG: 2025-11-07 06:15:12,737:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,738:      pdf_renderer.py:  470: printSegment: MapReduce
   DEBUG: 2025-11-07 06:15:12,738:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,739:      pdf_renderer.py:  470: printSegment: Distributed computing
   DEBUG: 2025-11-07 06:15:12,740:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,741:      pdf_renderer.py:  470: printSegment: Open source tools
   DEBUG: 2025-11-07 06:15:12,742:      pdf_renderer.py:  470: printSegment: 2010s - Cloud Data Platforms:
   DEBUG: 2025-11-07 06:15:12,742:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,743:      pdf_renderer.py:  470: printSegment: Cloud data warehouses
   DEBUG: 2025-11-07 06:15:12,744:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,744:      pdf_renderer.py:  470: printSegment: Separation of storage and compute
   DEBUG: 2025-11-07 06:15:12,745:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,745:      pdf_renderer.py:  470: printSegment: Elastic scaling
   DEBUG: 2025-11-07 06:15:12,746:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,747:      pdf_renderer.py:  470: printSegment: Pay-as-you-go pricing
   DEBUG: 2025-11-07 06:15:12,747:      pdf_renderer.py:  470: printSegment: 2020s - Modern Data Stack:
   DEBUG: 2025-11-07 06:15:12,748:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,749:      pdf_renderer.py:  470: printSegment: ELT over ETL
   DEBUG: 2025-11-07 06:15:12,749:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,750:      pdf_renderer.py:  470: printSegment: SQL-based transformations
   DEBUG: 2025-11-07 06:15:12,750:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,751:      pdf_renderer.py:  470: printSegment: Version control for data
   DEBUG: 2025-11-07 06:15:12,751:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,752:      pdf_renderer.py:  470: printSegment: DataOps practices
   DEBUG: 2025-11-07 06:15:12,752:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,753:      pdf_renderer.py:  470: printSegment: Self-service analytics
